Year,Month,Date,WEST,RIO,OUT
1929,10,10/1/1929,1770,3101,4749
1929,10,10/2/1929,1897,3112,4890
1929,10,10/3/1929,1973,3123,4980
1929,10,10/4/1929,1940,3236,5060
1929,10,10/5/1929,2035,3361,5282
1929,10,10/6/1929,2053,3473,5412
1929,10,10/7/1929,2302,3580,5796
1929,10,10/8/1929,2251,3580,5745
1929,10,10/9/1929,2235,3806,5955
1929,10,10/10/1929,2282,3931,6129
1929,10,10/11/1929,2165,3818,5899
1929,10,10/12/1929,1891,3722,5505
1929,10,10/13/1929,1891,3722,5505
1929,10,10/14/1929,1951,3620,5466
1929,10,10/15/1929,2051,3620,5566
1929,10,10/16/1929,2101,3620,5616
1929,10,10/17/1929,2151,3620,5666
1929,10,10/18/1929,2177,3631,5706
1929,10,10/19/1929,2110,3518,5526
1929,10,10/20/1929,2060,3518,5476
1929,10,10/21/1929,2060,3518,5476
1929,10,10/22/1929,1960,3518,5376
1929,10,10/23/1929,1987,3530,5417
1929,10,10/24/1929,1987,3530,5417
1929,10,10/25/1929,1987,3530,5417
1929,10,10/26/1929,1988,3530,5418
1929,10,10/27/1929,2038,3530,5468
1929,10,10/28/1929,1954,3643,5497
1929,10,10/29/1929,1893,3429,5225
1929,10,10/30/1929,1893,3429,5225
1929,10,10/31/1929,1912,3541,5356
1929,11,11/1/1929,1861,3534,5298
1929,11,11/2/1929,1997,3647,5547
1929,11,11/3/1929,2675,3647,6225
1929,11,11/4/1929,2924,3647,6474
1929,11,11/5/1929,2987,3534,6424
1929,11,11/6/1929,3007,3534,6444
1929,11,11/7/1929,2887,3534,6324
1929,11,11/8/1929,2663,3545,6115
1929,11,11/9/1929,2622,3658,6187
1929,11,11/10/1929,2597,3658,6162
1929,11,11/11/1929,2511,3658,6076
1929,11,11/12/1929,2270,3545,5722
1929,11,11/13/1929,2121,3545,5573
1929,11,11/14/1929,2076,3658,5641
1929,11,11/15/1929,1988,3760,5651
1929,11,11/16/1929,1995,3873,5771
1929,11,11/17/1929,2001,3985,5889
1929,11,11/18/1929,1989,3873,5765
1929,11,11/19/1929,1973,3760,5636
1929,11,11/20/1929,1964,3862,5726
1929,11,11/21/1929,2022,3974,5896
1929,11,11/22/1929,2003,3862,5765
1929,11,11/23/1929,1982,3749,5631
1929,11,11/24/1929,1944,3523,5367
1929,11,11/25/1929,1914,3511,5323
1929,11,11/26/1929,1895,3399,5192
1929,11,11/27/1929,2152,3500,5547
1929,11,11/28/1929,1949,3489,5330
1929,11,11/29/1929,1907,3489,5288
1929,11,11/30/1929,1802,3365,5056
1929,12,12/1/1929,1788,3480,5154
1929,12,12/2/1929,1783,3473,5142
1929,12,12/3/1929,1783,3485,5154
1929,12,12/4/1929,1755,3465,5104
1929,12,12/5/1929,1752,3575,5208
1929,12,12/6/1929,1755,3571,5207
1929,12,12/7/1929,1695,3673,5246
1929,12,12/8/1929,1758,3778,5414
1929,12,12/9/1929,2069,3938,5917
1929,12,12/10/1929,3378,11879,15164
1929,12,12/11/1929,7290,25162,32544
1929,12,12/12/1929,8128,29382,37638
1929,12,12/13/1929,11694,47580,59522
1929,12,12/14/1929,11806,52839,64861
1929,12,12/15/1929,11942,53779,65937
1929,12,12/16/1929,14028,64740,79132
1929,12,12/17/1929,13539,75194,89062
1929,12,12/18/1929,12154,87803,100168
1929,12,12/19/1929,11955,87823,99997
1929,12,12/20/1929,11707,76581,88507
1929,12,12/21/1929,8230,62269,70388
1929,12,12/22/1929,7755,52369,60013
1929,12,12/23/1929,7033,44542,51466
1929,12,12/24/1929,6081,35932,41897
1929,12,12/25/1929,5185,27035,32106
1929,12,12/26/1929,4615,21139,25640
1929,12,12/27/1929,4039,17560,21488
1929,12,12/28/1929,3610,15429,18928
1929,12,12/29/1929,3424,14058,17374
1929,12,12/30/1929,3380,13675,16950
1929,12,12/31/1929,3363,13399,16660
1930,1,1/1/1930,3318,13098,16313
1930,1,1/2/1930,3263,12575,15738
1930,1,1/3/1930,3197,11970,15070
1930,1,1/4/1930,3212,11878,14996
1930,1,1/5/1930,6842,15870,22914
1930,1,1/6/1930,7425,19829,27467
1930,1,1/7/1930,9265,23049,32679
1930,1,1/8/1930,9619,25111,35095
1930,1,1/9/1930,10841,24286,35603
1930,1,1/10/1930,8326,21877,30413
1930,1,1/11/1930,8118,20391,28711
1930,1,1/12/1930,7423,19011,26571
1930,1,1/13/1930,9093,19721,29160
1930,1,1/14/1930,9147,20294,29798
